18;37
37;17
17;18
18;19
19;37
30;32
32;31
31;30
30;33
33;32
1;0
0;36
36;1
55;9
9;56
56;55
55;10
10;9
2;1
1;41
41;2
3;48
48;4
4;3
3;2
2;48
62;52
52;63
63;62
62;51
51;52
62;67
67;61
61;62
62;66
66;67
5;4
48;5
2;31
31;48
41;31
6;5
5;59
59;6
53;35
35;54
54;53
53;34
34;35
7;6
59;7
36;41
8;7
7;57
57;8
9;8
57;9
30;42
42;35
35;30
30;29
29;42
11;10
55;11
46;44
44;45
45;46
46;43
43;44
12;11
11;54
54;12
29;39
39;28
28;29
30;39
13;12
54;13
19;38
38;37
14;13
54;14
38;40
40;41
41;38
38;39
39;40
15;14
14;46
46;15
37;36
36;17
16;15
15;45
45;16
28;42
0;68
68;17
17;0
39;21
21;28
38;21
18;69
69;19
18;68
68;69
21;27
27;28
70;22
22;27
27;70
70;23
23;22
69;20
20;19
21;70
20;38
70;20
69;70
21;20
22;28
22;42
43;22
23;43
43;42
71;23
70;71
71;24
24;23
24;43
71;25
25;24
25;44
44;24
25;72
72;26
26;25
71;72
16;26
72;16
45;26
26;44
41;37
35;14
35;46
30;34
34;33
63;64
64;65
65;63
63;53
53;64
58;7
59;58
58;57
31;39
31;49
49;48
61;50
50;62
32;49
33;52
51;33
34;52
33;50
50;32
53;52
40;31
42;47
47;35
43;47
46;47
48;59
49;60
60;48
50;49
61;49
51;50
57;56
65;55
56;65
64;55
54;64
55;54
57;66
66;56
67;49
58;66
60;67
67;59
59;60
67;58
63;66
65;66
