17;1;32
1;2;32
17;1;25
17;32;33
2;32;3
3;4;37
4;36;37
32;3;37
36;37;42
4;5;36
0;1;25
0;20;25
35;5;36
35;36;41
35;5;6
17;33;18
17;16;18
33;18;39
17;16;23
16;19;18
7;8;30
19;7;30
8;29;30
35;19;7
19;31;30
35;6;7
26;12;15
16;26;15
12;13;15
27;26;12
16;19;26
16;23;15
23;11;15
23;22;11
11;13;15
23;22;24
21;22;11
21;20;9
21;9;10
21;20;25
0;20;9
21;10;11
10;11;13
19;26;31
29;28;30
8;29;14
27;12;13
27;28;13
27;26;31
29;28;14
28;13;14
34;35;19
34;35;41
34;19;18
32;38;37
17;25;24
17;23;24
18;39;40
34;18;40
39;42;40
34;40;41
33;38;39
21;22;25
22;25;24
28;31;30
27;28;31
32;33;38
38;39;43
39;42;43
38;37;43
36;42;41
42;40;41
37;42;43
