17;18;37
19;18;37
17;36;37
68;17;18
69;19;18
19;38;37
32;31;30
32;33;30
49;32;31
39;31;30
34;33;30
50;32;33
0;1;36
17;0;36
1;36;41
55;9;56
55;9;10
9;57;56
55;65;56
55;10;11
1;2;41
2;41;31
48;3;4
2;48;3
48;4;5
2;48;31
52;63;62
51;52;62
53;52;63
66;63;62
51;50;62
51;33;52
67;62;61
66;67;62
49;67;61
50;62;61
66;67;58
48;5;59
49;48;31
40;41;31
5;6;59
6;7;59
35;54;53
34;35;53
35;54;14
64;54;53
34;53;52
34;35;30
7;59;58
36;37;41
7;8;57
7;58;57
8;9;57
35;42;30
42;29;30
35;42;47
39;29;30
42;29;28
55;54;11
46;44;45
43;46;44
26;44;45
46;15;45
43;46;47
24;43;44
54;11;12
54;12;13
39;29;28
21;39;28
54;13;14
19;38;20
38;37;41
38;40;41
38;39;40
21;38;39
39;40;31
46;14;15
35;46;14
16;45;15
16;26;45
22;42;28
17;68;0
21;27;28
21;38;20
68;69;18
69;19;20
70;21;27
22;27;28
70;22;27
70;23;22
70;71;23
23;22;43
69;70;20
70;21;20
22;42;43
23;24;43
42;43;47
71;23;24
71;25;24
71;25;72
25;24;44
25;26;44
25;26;72
16;26;72
35;46;47
34;33;52
64;65;63
64;53;63
55;64;65
65;66;63
67;59;58
66;58;57
49;48;60
50;49;61
50;49;32
51;50;33
48;59;60
49;67;60
66;57;56
65;66;56
55;64;54
67;59;60
