32;1
1;17
17;32
32;2
2;1
37;4
4;3
3;37
37;36
36;4
1;0
0;25
25;1
36;5
5;4
36;35
35;5
17;18
18;33
33;17
17;16
16;18
3;2
32;3
7;30
30;8
8;7
7;19
19;30
6;5
35;6
26;15
15;12
12;26
26;16
16;15
7;6
35;7
23;11
11;15
15;23
23;22
22;11
9;21
21;20
20;9
9;10
10;21
20;0
0;9
20;25
13;11
11;10
10;13
13;15
26;19
19;16
11;21
30;29
29;8
13;12
27;12
13;27
27;26
14;8
29;14
13;14
14;28
28;13
16;23
35;19
35;34
34;19
32;37
25;17
17;23
18;40
40;39
39;18
18;34
34;40
19;18
39;33
22;25
25;21
21;22
22;24
24;25
24;17
23;24
26;31
31;19
28;30
30;31
31;28
28;29
27;31
28;27
33;32
33;38
38;32
39;38
39;43
43;38
35;41
41;34
36;41
41;40
41;42
42;40
37;42
42;36
38;37
43;37
39;42
42;43
